,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
0,North America,41566599,+14935,+366,930603,34828512
1,Asia,59459330,+30810,+239,853108,56065906
2,South America,34708373,+1052,+30,1066965,32187004
3,Europe,50101361,+2122,+13,1121776,46267313
4,Africa,6350311,,,160112,5540767
5,Oceania,91730,+143,,1409,73304
6,,721,,,15,706
7,World,192278425,+49062,+648,4133988,174963512
8,USA,35081719,,,625363,29435171
9,India,31216337,+1195,,418511,30390687
10,Brazil,19419741,,,544302,18124621
11,Russia,6006536,,,149922,5382213
12,France,5890062,,,111525,5663776
13,Turkey,5546166,,,50650,5395300
14,UK,5519602,,,128823,4411839
15,Argentina,4784219,,,102381,4420995
16,Colombia,4668750,,,117131,4422866
17,Italy,4293083,,,127884,4115889
18,Spain,4189136,,,81148,3676323
19,Germany,3754828,,,91938,3642000
20,Iran,3576148,,,87624,3168834
21,Indonesia,2950058,,,76200,2323666
22,Poland,2881594,,,75219,2653034
23,Mexico,2678297,+13853,+341,236810,2104298
24,South Africa,2311232,,,67676,2085119
25,Ukraine,2245930,+655,+13,52769,2182502
26,Peru,2096013,,,195332,N/A
27,Netherlands,1814143,,,17783,1661200
28,Czechia,1671372,,,30341,1638061
29,Chile,1601858,,,34569,1555294
30,Philippines,1517903,,,26844,1444253
31,Iraq,1510517,,,17951,1372158
32,Canada,1424220,,,26508,1393117
33,Bangladesh,1128889,,,18325,951340
34,Belgium,1108675,+1467,,25213,1051372
35,Sweden,1095279,,,14614,1072800
36,Romania,1081773,,,34258,1046881
37,Pakistan,996451,+2579,+40,22888,922034
38,Malaysia,939899,,,7241,798955
39,Portugal,935246,,,17219,867540
40,Israel,854434,,,6452,839103
41,Japan,844014,,,15060,801337
42,Hungary,808889,,,30019,743449
43,Jordan,762420,,,9916,744365
44,Serbia,719006,,,7088,709559
45,Switzerland,710243,,,10903,690729
46,Nepal,670953,,,9607,634927
47,UAE,664027,,,1904,641750
48,Austria,654314,,,10729,639831
49,Morocco,562416,,,9486,534814
50,Tunisia,554911,,,17821,443979
51,Lebanon,551789,,,7887,535485
52,Saudi Arabia,512142,,,8103,493240
53,Kazakhstan,504290,+5179,+54,5116,436523
54,Ecuador,477946,,,30744,443880
55,Bolivia,464177,+1052,+30,17505,394002
56,Greece,463473,,,12843,420187
57,Paraguay,446267,,,14394,406280
58,Thailand,439477,+13002,+108,3610,304456
59,Belarus,435620,,,3344,429257
60,Panama,424455,,,6716,404606
61,Bulgaria,423223,,,18184,397648
62,Costa Rica,394135,,,4915,318436
63,Slovakia,392139,,,12531,379204
64,Georgia,390945,,,5592,367130
65,Kuwait,387912,,,2247,369737
66,Uruguay,379376,,,5896,369652
67,Croatia,361759,,,8243,352777
68,Azerbaijan,338837,,,4994,331429
69,Dominican Republic,337975,,,3928,280645
70,Guatemala,334375,,,9927,293208
71,Palestine,315761,,,3589,310601
72,Denmark,307764,,,2542,293906
73,Venezuela,294727,,,3408,278117
74,Cuba,294449,,,2019,256757
75,Oman,289042,,,3498,263752
76,Sri Lanka,287973,,,3870,262828
77,Ireland,286691,,,5018,264030
78,Egypt,283813,,,16457,225068
79,Honduras,282686,+1082,+25,7507,96452
80,Lithuania,279914,,,4404,268382
81,Ethiopia,277877,,,4359,262550
82,Bahrain,268027,,,1380,265832
83,Slovenia,258287,,,4425,253059
84,Moldova,258096,,,6229,251033
85,Myanmar,240570,,,5567,167171
86,Armenia,227716,,,4572,218529
87,Libya,226701,,,3309,184476
88,Qatar,224510,,,599,222362
89,Bosnia and Herzegovina,205340,,,9669,188019
90,Kenya,193807,,,3800,183211
91,Zambia,187602,,,3138,174728
92,S. Korea,182265,+1784,+1,2060,161634
93,Nigeria,169884,,,2128,164733
94,North Macedonia,155931,,,5487,150223
95,Algeria,155784,,,3979,107041
96,Kyrgyzstan,152709,+1102,+9,2205,128905
97,Mongolia,151230,+1497,+4,749,141248
98,Afghanistan,142800,,,6295,90153
99,Latvia,138238,,,2548,135168
100,Norway,134780,,,796,88952
101,Albania,132740,,,2456,130086
102,Estonia,131963,,,1271,128177
103,Uzbekistan,121329,+698,+4,809,116009
104,Namibia,113438,,,2557,89010
105,Mozambique,102009,,,1158,78337
106,Finland,100773,,,978,46000
107,Montenegro,100755,,,1623,98711
108,Ghana,99160,,,815,95221
109,Cyprus,93247,,,391,74714
110,Botswana,91902,,,1328,75782
111,Uganda,90910,,,2412,69377
112,Zimbabwe,88415,,,2747,58155
113,El Salvador,82852,,,2508,75136
114,Cameroon,81467,,,1330,78224
115,Maldives,76188,,,217,73340
116,Luxembourg,73074,,,821,70675
117,Cambodia,69608,+812,+19,1168,61779
118,Vietnam,65607,+2787,,334,11443
119,Singapore,63440,,,36,62543
120,Rwanda,59141,,,677,41951
121,Senegal,53573,,,1236,43802
122,Jamaica,51282,,,1158,46724
123,Ivory Coast,49288,,,322,48537
124,DRC,46725,,,1018,29205
125,Malawi,44684,,,1363,35203
126,Madagascar,42551,,,937,40951
127,Angola,41061,,,970,34857
128,Sudan,37138,,,2776,30867
129,Trinidad and Tobago,36354,,,1000,29663
130,Réunion,34615,,,266,32036
131,Cabo Verde,33356,,,296,32525
132,Malta,32833,,,420,30236
133,Australia,32266,+137,,915,29743
134,French Guiana,29133,,,169,9995
135,Syria,25845,,,1905,21924
136,Gabon,25283,,,163,25005
137,Guinea,24765,,,194,23655
138,Suriname,24435,,,620,20581
139,Mauritania,22929,,,512,20901
140,Guyana,21668,,,514,19993
141,Eswatini,21496,,,727,19086
142,Haiti,19627,,,512,13122
143,Mayotte,19460,,,174,2964
144,Fiji,19352,,,125,4233
145,French Polynesia,19163,,,144,18902
146,Guadeloupe,17779,,,238,2250
147,Seychelles,17541,,,86,16814
148,Papua New Guinea,17515,,,191,17153
149,Martinique,15612,,,99,104
150,Taiwan,15453,,,773,13650
151,Somalia,15162,,,781,7277
152,Togo,14769,,,140,13895
153,Mali,14522,,,530,12376
154,Andorra,14379,,,127,13930
155,Tajikistan,14228,,,114,13801
156,Belize,13816,,,332,13117
157,Bahamas,13604,,,274,12112
158,Burkina Faso,13537,,,169,13350
159,Congo,13050,,,176,11759
160,Curaçao,12883,,,126,12261
161,Lesotho,12398,,,339,6601
162,Hong Kong,11966,,,212,11688
163,Djibouti,11628,,,155,11466
164,Aruba,11257,,,109,11051
165,South Sudan,10917,,,117,10514
166,Timor-Leste,10174,,,26,9390
167,Nicaragua,9108,,,194,4225
168,Equatorial Guinea,8848,,,123,8591
169,Benin,8244,,,107,8081
170,Channel Islands,7766,,,86,4640
171,CAR,7147,,,98,6859
172,Yemen,6992,,,1371,4162
173,Gambia,6920,,,190,6015
174,Iceland,6832,,,30,6639
175,Eritrea,6450,,,32,6158
176,Sierra Leone,6198,,,116,4144
177,Burundi,5942,,,8,773
178,Niger,5594,,,194,5287
179,Saint Lucia,5484,,,87,5295
180,Liberia,5396,,,148,2715
181,San Marino,5099,,,90,5002
182,Chad,4965,,,174,4777
183,Gibraltar,4671,,,94,4302
184,Barbados,4292,,,48,4058
185,Guinea-Bissau,4087,,,73,3725
186,Comoros,4011,,,147,3837
187,Laos,3863,+153,,5,2174
188,Liechtenstein,3069,,,59,2994
189,New Zealand,2828,+6,,26,2746
190,Isle of Man,2756,,,29,1623
191,Monaco,2717,,,33,2587
192,Sint Maarten,2687,,,34,2609
193,Mauritius,2661,,,19,1854
194,Bermuda,2530,,,33,2482
195,Turks and Caicos,2458,,,18,2404
196,Bhutan,2455,,,2,2125
197,Saint Martin,2433,,,38,1399
198,Sao Tome and Principe,2410,,,37,2336
199,St. Vincent Grenadines,2263,,,12,2197
200,British Virgin Islands,2210,,,23,588
201,Caribbean Netherlands,1683,,,17,1642
202,Antigua and Barbuda,1275,,,42,1225
203,St. Barth,1005,,,1,462
204,Faeroe Islands,941,,,1,841
205,Diamond Princess,712,,,13,699
206,Cayman Islands,627,,,2,618
207,Saint Kitts and Nevis,557,,,3,514
208,Tanzania,509,,,21,183
209,Wallis and Futuna,445,,,7,438
210,Brunei,305,,,3,261
211,Dominica,206,,,,195
212,Grenada,161,,,1,160
213,New Caledonia,129,,,,58
214,Anguilla,113,,,,111
215,Greenland,83,,,,53
216,Falkland Islands,63,,,,63
217,Macao,55,,,,53
218,Vatican City,27,,,,27
219,Saint Pierre Miquelon,26,,,,26
220,Montserrat,21,,,1,19
221,Solomon Islands,20,,,,20
